country,lat,long,attacks,killed,wounded
Afghanistan,33.76259773,67.16936665,9690,27018,31636
Albania,41.06111699,19.84565905,77,42,126
Algeria,36.22648722,3.394910397,2720,11082,9062
Angola,-10.14242651,14.98019943,491,3036,2044
Antigua and Barbuda,17.117528,-61.845557,1,0,0
Argentina,-33.97179701,-59.97057397,804,489,753
Armenia,40.29231495,44.54329305,22,31,70
Australia,-33.15026668,145.9328976,88,19,91
Austria,47.99615945,15.54020161,106,28,126
Azerbaijan,40.40365031,48.6532964,45,252,184
Bahamas,24.7615692,-77.7934744,5,1,0
Bahrain,26.1840034,50.78821631,182,37,161
Bangladesh,23.56165985,90.4483565,1513,1121,7884
Barbados,13.126551,-59.54547823,3,76,3
Belarus,53.90384615,27.669231,13,14,212
Belgium,50.85800613,4.389448971,142,41,238
Belize,17.34777787,-88.45578417,8,3,0
Benin,6.999356429,2.325152429,8,0,8
Bhutan,26.8745758,89.8399016,6,9,5
Bolivia,-17.17733034,-66.97617082,314,42,166
Bosnia-Herzegovina,44.24042295,18.11116552,159,79,150
Botswana,-24.65606089,25.973331,10,11,11
Brazil,-20.59343929,-46.07910894,267,202,160
Brunei,12.84673,102.612999,1,0,1
Bulgaria,42.57893917,24.15224702,51,28,35
Burkina Faso,12.92822239,-1.535061125,9,9,11
Burundi,-3.351466019,29.54376818,504,4108,2112
Cambodia,12.34626605,104.3755654,258,543,786
Cameroon,10.30562508,13.84509763,180,1846,493
Canada,47.7174895,-91.16428851,76,343,73
Central African Republic,5.575115339,19.47350132,202,1201,529
Chad,13.22836244,17.13958641,80,1035,1612
Chile,-33.75213239,-71.01277251,2334,226,749
China,36.89349498,97.04908059,242,1002,1915
Colombia,5.586048802,-74.81321907,8077,14562,10138
Comoros,-12.06922,43.6969932,5,1,2
Costa Rica,9.968427284,-84.07144058,67,17,38
Croatia,45.10103398,16.77306613,57,248,73
Cuba,23.11605892,-82.17416634,30,8,10
Cyprus,35.02113055,33.28839404,130,45,41
Czech Republic,50.02611152,14.79961544,27,6,28
Czechoslovakia,49.89609211,14.96162011,10,27,23
Democratic Republic of the Congo,-0.411320734,28.21973309,459,2928,989
Denmark,55.707929,12.42081374,40,4,26
Djibouti,11.6118491,42.92507,21,274,162
Dominica,15.39499867,-61.406915,3,3,10
Dominican Republic,18.76004149,-70.20551758,89,32,123
East Germany (GDR),52.50651987,13.35359429,38,2,37
East Timor,-8.810467625,125.4593779,10,9,7
Ecuador,-0.974238524,-78.89905648,215,53,65
Egypt,29.92266574,32.30930809,1799,2340,3515
El Salvador,13.72232652,-88.92862771,5320,12053,5062
Equatorial Guinea,3.758429,8.785311,2,2,3
Eritrea,15.05303717,38.73093367,10,46,62
Estonia,59.25097792,25.64377346,16,3,11
Ethiopia,9.78378674,39.73960056,150,1419,1078
Falkland Islands,-51.692214,-57.8589,1,0,0
Fiji,-17.76154218,178.2464549,17,8,18
Finland,61.0501434,24.57464313,15,9,4
France,44.28340018,5.974977129,2617,430,1717
French Guiana,5.086453857,-52.81379229,7,1,13
French Polynesia,-17.534984,-149.569504,3,0,13
Gabon,-0.160128,10.348771,4,6,1
Gambia,13.453056,-16.5775,3,13,2
Georgia,42.32103132,42.96004993,212,277,380
Germany,51.40670428,10.23145985,649,61,559
Ghana,6.624198,-0.589680563,18,19,13
Gibraltar,36.144911,-5.353252,1,3,0
Greece,38.17271009,23.7046722,1200,258,724
Grenada,12.1362685,-61.6933535,5,9,21
Guadeloupe,16.19876579,-61.53453295,56,8,45
Guatemala,14.88735106,-90.76385378,2050,5167,1231
Guinea,9.190527375,-11.74494158,24,212,57
Guinea-Bissau,11.928774,-15.66860322,9,17,27
Guyana,6.8389606,-58.23771948,25,41,24
Haiti,18.65438283,-72.42017204,212,329,300
Honduras,14.45622778,-87.36671276,321,303,240
Hong Kong,22.29784896,114.1539333,26,4,102
Hungary,47.50582993,19.10781146,45,6,15
Iceland,64.58808775,-20.83730625,4,0,0
India,26.14049227,82.76615623,9940,18317,27257
Indonesia,-2.087978249,112.9189542,714,1192,2395
International,12.533136,47.922339,1,1,12
Iran,33.85819999,51.53901251,667,1626,4057
Iraq,33.98139524,44.14905657,18770,58855,115042
Ireland,53.42648505,-6.876621864,274,115,27
Israel,31.84009299,34.92248362,2085,1677,7500
Italy,43.31774519,11.22087433,1545,412,1177
Ivory Coast,5.832288339,-5.166805268,60,243,136
Jamaica,18.03520244,-76.82663273,34,42,36
Japan,35.48150911,138.6999817,400,47,6972
Jordan,31.81219771,35.91174397,92,94,194
Kazakhstan,47.19143774,68.89760317,24,29,10
Kenya,-0.058450992,39.29133598,517,1744,6097
Kosovo,42.62740448,21.00546627,180,83,361
Kuwait,29.39627282,47.96369863,74,62,299
Kyrgyzstan,41.90916178,73.68985452,28,9,20
Laos,18.07518911,102.8946926,22,23,58
Latvia,56.95468344,24.10956081,16,2,36
Lebanon,33.81330794,35.58446308,2413,4011,10779
Lesotho,-29.31428744,27.655497,29,46,34
Liberia,6.847197438,-10.21400081,33,177,36
Libya,31.98611222,18.14872684,1643,1679,2393
Lithuania,54.82864963,24.68521513,8,1,2
Luxembourg,49.62625158,6.138282333,16,0,6
Macau,22.19120809,113.5478069,33,1,46
Macedonia,41.98246226,21.23049067,117,49,60
Madagascar,-17.44757404,47.72983781,26,28,94
Malawi,-14.8849045,34.393255,4,33,0
Malaysia,4.636628105,107.667541,76,142,90
Maldives,5.05496175,73.33571169,17,0,18
Mali,16.78550649,-1.162030707,319,839,784
Malta,35.88674916,14.49676579,20,4,12
Martinique,14.5978924,-61.05756898,12,0,1
Mauritania,19.784287,-13.29350327,18,43,28
Mauritius,-20.3375565,57.506585,2,0,1
Mexico,20.12311305,-99.27093655,499,753,677
Moldova,46.95088297,29.29399266,20,13,88
Montenegro,42.598706,19.4396682,5,1,0
Morocco,32.33840559,-7.416907281,36,287,200
Mozambique,-21.47421763,34.09887443,272,2627,1423
Myanmar,19.58160505,96.98269665,347,984,1524
Namibia,-19.65617754,17.42727665,151,220,406
Nepal,27.53034327,84.80662963,923,1963,2039
Netherlands,52.19050344,4.947790145,121,35,55
New Caledonia,-21.8144432,166.1169374,31,35,23
New Hebrides,-17.734818,168.322029,1,0,0
New Zealand,-41.03681272,174.3148911,18,0,2
Nicaragua,12.75674231,-85.81179411,1970,10598,1731
Niger,15.04007996,8.480902775,116,1136,257
Nigeria,9.960087121,10.32448132,2888,18509,8135
North Korea,39.031859,125.753765,1,3,4
North Yemen,15.369445,44.191007,6,3,1
Norway,59.92786889,10.74913989,18,79,88
Pakistan,30.441664,69.40883338,12768,21597,38012
Panama,8.91996956,-79.67668285,126,38,83
Papua New Guinea,-6.401466365,152.695866,81,79,88
Paraguay,-24.28849942,-56.98799869,89,44,66
People's Republic of the Congo,-4.64144,13.8093785,3,15,0
Peru,-11.98381695,-75.89438398,6085,12752,4067
Philippines,9.9194668,123.2260475,5576,8645,11974
Poland,52.2412365,19.88189332,34,7,30
Portugal,38.81075498,-10.19974992,139,32,95
Qatar,25.25979583,51.49670767,7,7,13
Republic of the Congo,-3.518352,15.47330414,21,151,53
Rhodesia,-18.50188222,30.65812584,83,217,158
Romania,44.4333333,26.1,6,4,9
Russia,44.94078139,45.93198484,2104,4182,7271
Rwanda,-1.938429176,29.80681527,156,3234,914
Saudi Arabia,21.37963318,44.73543214,193,479,1401
Senegal,12.87042267,-16.24228778,118,325,323
Serbia,43.78947545,21.00878727,11,3,8
Serbia-Montenegro,43.67908291,20.95426873,11,3,5
Seychelles,-4.616858,55.44939,2,0,0
Sierra Leone,8.518091455,-11.96910847,97,839,122
Singapore,1.27986,103.848989,7,5,3
Slovak Republic,48.28242388,17.78762981,17,7,10
Slovenia,46.21041662,14.9443055,6,1,2
Solomon Islands,-9.37991875,160.2917023,4,4,0
Somalia,2.863973304,44.87260704,2890,6695,6229
South Africa,-28.35420318,27.79041094,1957,2629,4527
South Korea,36.70548835,127.2196325,37,10,134
South Sudan,7.561387631,30.94313896,111,1420,873
South Vietnam,13.977956,108.002298,1,81,0
South Yemen,12.814427,45.036416,2,0,2
Soviet Union,46.88932931,41.21827653,78,96,150
Spain,41.96246584,-2.582894594,3239,1261,4814
Sri Lanka,8.007246168,80.68243979,2982,15505,15537
St. Kitts and Nevis,17.300063,-62.730877,2,0,9
St. Lucia,14.01011,-60.9875,1,2,12
Sudan,12.02726379,26.85962239,688,3619,1780
Suriname,5.487003371,-54.87246863,66,29,24
Swaziland,-26.4733408,31.30955033,16,6,3
Sweden,58.38781955,15.38124959,102,17,47
Switzerland,46.8569345,7.575844692,107,74,94
Syria,35.06918364,37.15257302,1468,10363,9790
Taiwan,24.57397056,121.1846126,47,60,86
Tajikistan,37.8850753,63.74411032,184,304,1109
Tanzania,-4.978901182,36.81150598,50,62,228
Thailand,7.442428767,101.3209165,3338,2546,7148
Togo,6.850471717,1.189878087,48,76,34
Trinidad and Tobago,10.67273738,-61.38815177,22,6,35
Tunisia,35.77258877,9.511415362,92,283,391
Turkey,39.14540537,35.77299059,3557,5659,6789
Turkmenistan,37.395037,61.4200195,2,3,3
Uganda,1.575158565,32.3710181,366,2983,1124
Ukraine,48.25895961,37.26342154,1583,2173,2731
United Arab Emirates,24.49337765,54.1140113,22,123,27
United Kingdom,54.24692885,-5.583529453,4992,3395,5616
United States,36.65017756,-91.88302338,2693,3577,3199
Uruguay,-34.88402164,-56.12930065,75,5,5
Uzbekistan,41.14489886,69.7937519,21,68,200
Vanuatu,-17.734818,168.322029,2,0,0
Vatican City,41.902887,12.453553,1,0,3
Venezuela,9.637086892,-67.89485716,269,213,131
Vietnam,12.90302511,107.3733548,10,1,27
Wallis and Futuna,-13.282509,-176.176447,1,0,0
West Bank and Gaza Strip,31.75274485,34.89151495,1990,1375,2860
West Germany (FRG),50.84718874,9.531531744,541,97,862
Western Sahara,27.24047633,-11.81774033,5,1,4
Yemen,14.51153574,45.33774889,2598,6495,7276
Yugoslavia,43.26668568,20.37319215,203,119,281
Zaire,-3.772835667,21.20312717,48,325,215
Zambia,-14.88154819,27.48119062,60,70,62
Zimbabwe,-18.83621808,30.26144326,98,154,221