Year,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Germany (GDR),East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Hebrides,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Yemen,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,People's Republic of the Congo,Peru,Philippines,Poland,Portugal,Qatar,Republic of the Congo,Rhodesia,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Serbia-Montenegro,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,South Vietnam,South Yemen,Soviet Union,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis and Futuna,West Bank and Gaza Strip,West Germany (FRG),Western Sahara,Yemen,Yugoslavia,Zaire,Zambia,Zimbabwe
1990,2,1,2,0,205,0,31,0,0,1,0,0,0,22,0,0,2,0,0,0,11,0,1,7,0,5,0,0,2,0,0,0,0,161,1,349,0,1,0,0,11,0,1,0,0,1,0,2,3,0,8,13,184,0,0,0,10,0,0,0,30,0,0,0,0,0,1,0,0,55,0,0,83,0,0,5,3,13,1,0,0,349,3,0,11,0,2,98,6,0,0,93,3,0,0,0,0,0,1,0,84,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,23,9,2,0,6,0,0,0,15,0,0,0,0,0,87,15,18,0,0,495,320,7,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,154,3,0,0,0,36,113,141,0,0,1,7,0,6,1,0,1,0,0,10,0,0,0,195,0,14,0,0,147,32,1,0,0,0,1,0,0,88,9,0,0,5,0,4,6
1991,30,1,30,0,16,0,27,1,4,3,3,0,1,42,0,0,6,3,0,0,28,0,0,24,0,3,2,7,3,4,0,4,2,127,1,420,0,2,26,1,11,0,1,0,1,1,0,8,0,0,17,10,500,0,0,0,5,0,3,0,137,0,0,0,0,3,65,0,0,57,0,1,77,0,0,0,17,21,1,3,0,339,7,0,9,3,16,64,31,0,1,19,11,0,5,0,5,0,0,0,91,0,1,0,1,0,0,0,1,0,3,0,12,0,1,0,0,10,1,0,3,35,22,1,1,8,0,0,1,80,6,3,0,0,2,150,16,2,0,0,658,162,0,0,0,0,0,1,0,3,2,4,0,0,0,9,1,0,0,0,8,127,6,0,0,0,34,89,115,0,0,3,1,1,6,2,0,2,0,0,8,2,1,2,293,0,2,2,0,262,30,3,0,0,0,17,0,0,83,0,0,5,11,6,0,1
1992,36,3,215,0,50,1,41,2,4,8,12,0,0,76,1,0,9,2,1,0,38,22,0,24,1,2,0,2,67,6,3,1,4,116,5,523,1,2,4,4,6,0,3,0,4,6,0,11,0,0,23,79,29,1,0,2,13,0,1,1,126,0,0,0,0,39,156,8,0,35,0,0,48,2,0,4,27,12,6,1,0,237,4,0,16,35,7,78,37,3,6,40,2,5,30,0,15,0,4,2,91,0,10,1,1,0,0,0,7,3,2,0,3,1,1,0,0,6,11,0,1,19,12,0,8,12,2,0,0,30,16,12,0,0,2,85,37,10,4,0,383,162,5,1,0,0,0,1,21,18,0,15,0,0,0,4,1,0,0,0,21,271,3,0,0,0,0,72,103,0,0,7,5,1,12,6,0,20,17,0,25,27,1,0,514,0,3,1,1,274,32,11,2,0,0,32,1,0,119,0,1,25,12,5,0,1
1994,9,2,227,0,9,0,14,4,9,5,11,0,1,68,0,1,5,0,3,0,8,9,0,19,0,2,0,16,39,6,4,1,1,15,13,201,1,1,4,9,6,1,0,0,0,2,0,7,0,0,6,143,21,0,0,6,4,0,0,1,97,0,0,1,1,18,79,4,0,42,0,0,84,2,0,0,27,6,4,2,0,107,5,0,43,18,10,55,18,2,2,9,6,1,5,0,2,0,1,2,67,3,3,0,0,3,0,1,0,0,0,0,13,0,0,0,0,42,1,0,2,3,8,1,3,3,0,0,1,19,8,8,1,0,2,154,3,3,2,0,91,72,4,1,0,8,0,0,47,33,2,2,0,0,0,22,1,1,1,0,57,174,2,0,0,0,0,55,35,0,0,5,1,0,1,0,0,5,31,1,24,13,1,1,300,0,13,10,0,256,56,4,0,0,0,12,1,1,165,0,0,19,1,7,0,1
1995,6,0,185,0,10,0,16,1,5,12,2,0,8,74,0,0,1,0,1,0,2,6,1,23,0,2,0,83,56,2,5,0,3,17,8,123,0,0,1,0,3,3,0,0,6,2,0,0,0,0,6,102,9,0,2,2,5,0,0,1,71,0,3,0,1,17,147,1,0,8,0,0,82,0,0,0,34,12,1,0,0,179,24,0,8,17,3,13,1,7,1,20,3,0,4,0,0,0,0,1,38,0,0,1,2,0,1,1,3,0,0,0,1,2,0,0,0,29,0,0,1,3,12,0,0,7,0,0,0,18,2,1,0,0,0,666,6,10,12,0,44,63,4,3,0,0,0,1,37,17,3,8,0,0,0,14,0,3,0,0,13,32,4,0,0,0,0,44,126,2,0,4,0,1,1,5,0,4,34,1,12,1,4,1,133,0,7,2,2,22,60,1,1,0,0,11,1,0,67,0,0,8,3,6,1,2
1996,4,6,129,0,4,0,19,1,5,4,2,0,16,161,0,0,0,0,2,0,1,33,0,18,0,12,0,35,33,0,1,1,1,8,62,409,0,1,3,1,10,3,0,0,0,0,0,3,0,0,5,51,7,0,1,1,7,0,0,0,270,2,0,1,0,3,52,2,0,20,0,0,26,1,0,0,27,19,3,13,0,211,65,0,3,12,1,19,8,2,1,8,2,0,3,0,0,5,1,0,39,0,1,4,3,0,10,0,2,0,0,0,0,0,0,1,0,75,2,0,2,0,13,0,5,6,0,0,2,26,1,11,0,0,1,180,2,10,0,0,42,61,6,0,1,1,0,0,66,15,1,0,0,0,0,5,0,5,3,0,16,47,1,0,0,0,0,63,176,0,0,10,0,0,1,4,2,5,22,0,19,1,3,0,54,0,29,3,0,36,35,1,0,2,0,12,1,0,30,0,0,8,16,13,4,0
1997,1,41,344,0,7,0,11,0,4,1,1,2,11,17,0,2,2,0,0,0,4,42,0,39,0,3,0,79,18,0,2,0,1,6,18,598,3,1,8,14,0,4,0,1,0,1,1,12,0,0,4,22,2,0,0,0,6,0,0,0,130,2,0,1,0,6,12,1,0,21,0,0,26,0,0,1,16,22,0,17,0,193,28,0,2,21,4,13,8,1,8,5,3,2,17,0,2,0,0,2,46,0,0,0,1,0,16,2,1,0,0,0,3,1,0,0,0,95,1,0,0,0,35,0,9,1,0,0,1,7,3,20,0,0,0,206,6,2,6,0,58,57,3,0,0,2,0,0,77,33,0,26,0,0,0,3,0,4,1,0,19,17,0,0,0,0,0,86,64,0,0,3,2,1,4,1,1,1,40,1,20,0,0,0,44,0,24,2,0,78,40,2,0,0,0,41,2,0,22,0,0,19,38,5,0,0
1998,1,7,151,0,20,0,0,2,6,1,0,0,0,2,0,0,3,0,0,0,0,9,0,2,0,2,0,13,7,1,4,0,1,1,2,94,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,12,6,0,0,28,0,0,0,0,0,2,1,0,0,2,0,61,3,0,5,7,3,14,6,0,0,1,1,0,2,0,0,0,0,4,23,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,5,18,2,0,0,0,0,0,26,9,0,1,0,0,0,7,0,2,0,0,1,6,0,0,0,0,0,17,35,0,0,0,0,1,0,1,1,0,11,1,4,0,0,0,23,0,18,0,0,63,30,0,0,0,0,1,0,0,12,0,0,7,46,0,0,0
1999,9,3,106,0,34,0,1,2,0,0,0,0,0,11,0,1,2,0,0,0,0,5,0,1,0,1,0,13,8,0,2,0,1,3,2,116,0,0,0,0,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0,1,2,0,3,0,46,0,0,0,0,7,13,0,0,35,0,0,1,0,0,0,5,0,0,0,0,112,61,0,8,12,3,8,7,0,0,2,2,0,0,39,0,3,0,1,42,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,8,1,0,0,0,1,2,18,0,0,0,39,1,0,1,0,5,31,0,0,0,3,0,0,54,0,0,1,0,0,0,9,0,1,0,1,4,17,0,0,0,0,0,47,46,0,0,5,0,1,2,2,0,0,4,0,4,0,0,0,109,0,19,6,0,76,53,0,8,0,0,5,0,0,11,0,0,17,23,0,7,0
2000,14,2,138,0,22,0,0,2,1,0,1,0,0,22,0,0,0,1,0,0,0,6,0,2,0,2,0,17,4,0,5,1,0,2,4,137,0,0,2,0,2,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,1,0,4,0,28,0,0,0,1,7,8,0,0,28,0,0,1,12,0,0,9,0,2,0,0,179,101,0,15,10,0,15,8,2,0,13,2,1,4,60,0,4,8,3,12,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,1,0,0,3,0,21,23,1,0,0,0,1,0,7,0,0,0,49,1,0,2,0,3,132,0,0,1,0,0,0,138,1,5,4,0,0,0,24,0,1,1,1,9,21,0,0,0,0,0,112,68,0,1,7,0,0,1,4,0,0,6,2,4,0,0,1,35,0,20,1,0,61,32,0,0,0,0,0,0,0,28,0,0,10,14,0,8,1
2001,14,1,113,0,40,0,2,2,2,0,4,0,0,15,0,1,0,0,0,0,0,2,0,3,0,1,0,37,7,0,0,1,0,3,13,207,0,1,3,0,1,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,21,0,0,0,0,4,8,0,0,14,0,0,2,0,1,1,5,0,1,1,0,234,105,0,4,3,2,79,11,1,0,3,2,1,7,17,2,1,1,0,5,0,3,0,0,0,0,67,0,0,1,0,0,0,0,0,0,7,0,1,0,0,3,6,33,1,0,0,1,0,0,5,0,0,1,53,0,0,0,0,3,50,1,0,1,1,0,0,135,2,3,8,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,79,36,0,0,9,0,0,0,2,0,2,6,4,15,0,0,1,19,0,24,0,0,94,41,0,0,0,0,5,4,0,123,0,0,7,20,0,0,3
2002,38,0,132,0,6,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,3,0,1,0,1,0,18,3,0,0,0,4,1,2,150,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,32,0,0,0,0,2,3,0,0,11,0,0,0,0,0,1,2,1,0,0,0,182,43,1,0,6,0,75,7,1,0,2,2,0,2,5,1,2,0,0,8,0,3,0,0,0,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,58,2,0,0,0,0,0,6,0,0,0,46,0,1,0,0,2,48,0,0,0,3,0,0,89,0,2,3,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,41,3,0,0,13,0,0,0,0,0,0,0,2,12,0,0,2,5,1,24,3,0,21,33,0,0,0,0,5,0,0,86,0,0,7,3,0,1,8
2003,100,1,75,0,0,0,1,0,0,0,0,0,1,4,0,0,8,0,0,0,1,1,0,1,0,0,0,18,1,0,0,0,0,2,3,98,0,0,0,0,0,1,0,6,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,34,0,0,0,0,6,2,0,0,12,0,0,3,0,1,1,5,0,0,0,0,196,18,0,2,87,1,38,15,0,0,2,0,0,2,9,3,1,2,0,5,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5,0,9,0,15,3,0,0,3,0,0,9,0,0,1,29,0,0,0,0,1,107,0,0,0,1,0,0,76,0,8,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0,21,9,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,19,0,30,1,0,23,32,0,0,0,0,8,0,0,45,0,0,7,0,0,0,1
2004,88,0,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,37,0,0,0,0,1,0,0,5,0,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0,11,0,0,0,0,3,3,0,0,4,0,0,2,0,0,0,2,1,0,0,0,108,17,0,0,319,0,19,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,62,1,0,0,0,0,0,6,0,0,0,67,0,0,0,0,3,32,0,0,0,0,0,0,43,0,17,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,31,33,0,0,5,0,0,0,0,1,2,0,1,44,0,0,0,27,0,10,0,0,5,9,0,5,0,0,0,0,0,34,0,0,0,0,0,0,0
2005,155,0,104,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,1,42,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,33,0,0,0,0,6,3,0,0,6,0,0,0,1,4,0,1,0,1,0,0,145,15,0,5,618,0,43,6,1,0,0,4,0,2,8,2,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,8,0,70,0,0,0,0,0,0,9,0,0,0,78,0,0,0,0,2,25,0,0,1,0,0,0,63,1,1,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,24,133,0,0,6,0,0,3,0,0,0,1,0,155,1,2,0,41,0,11,0,0,25,20,1,2,0,0,0,0,0,39,0,0,7,0,0,0,0
2006,282,0,152,0,0,0,0,0,2,1,0,0,1,23,0,1,0,0,0,1,0,1,0,3,0,0,0,5,0,0,2,1,11,1,1,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,34,0,0,0,0,3,4,0,0,23,0,0,4,0,1,2,1,0,0,0,0,167,10,0,14,837,1,78,4,3,0,0,1,0,2,6,0,3,0,0,7,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,7,1,0,0,0,2,0,83,0,0,0,0,0,0,37,0,0,1,164,0,0,0,0,1,58,0,0,0,0,0,0,56,0,3,0,0,2,0,0,0,0,0,0,10,0,1,0,0,0,0,23,217,0,0,24,0,1,1,0,1,0,0,0,202,0,0,0,40,0,0,0,0,6,6,0,0,0,0,0,0,0,35,0,0,5,0,0,0,1
2007,340,0,124,0,0,0,0,1,0,1,1,0,0,9,0,0,1,0,1,0,3,2,0,0,0,0,0,3,0,1,0,1,7,8,0,30,0,0,0,1,1,0,0,11,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,1,16,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,2,0,0,0,0,149,2,0,9,1047,1,53,0,1,1,0,0,0,12,5,0,1,0,1,18,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,10,0,1,6,1,3,0,90,0,0,0,0,0,7,61,0,0,0,260,0,1,0,0,4,65,0,0,0,0,0,0,51,0,1,1,0,0,0,0,0,0,0,0,156,2,0,0,0,0,0,11,132,0,0,23,0,0,0,2,0,0,1,0,292,0,0,1,29,0,1,1,0,20,9,0,0,0,0,2,0,0,88,0,1,7,0,0,0,1
2008,415,0,107,0,0,0,0,0,3,7,2,0,1,19,0,1,0,0,0,3,0,4,0,0,0,2,0,7,2,1,5,2,8,4,20,133,0,0,2,0,0,2,0,20,1,0,0,0,0,1,2,1,0,0,2,0,8,0,0,1,13,0,0,0,0,33,3,0,0,53,0,0,0,0,0,3,0,0,1,2,0,516,13,0,8,1104,5,134,2,0,0,3,0,1,11,11,0,0,0,0,58,0,1,1,0,0,0,9,0,0,2,1,9,0,0,2,0,8,0,0,0,0,20,0,121,1,0,0,5,0,9,76,0,0,0,567,0,0,0,0,1,275,0,0,0,0,0,1,170,1,0,2,4,0,0,0,0,0,0,0,172,1,0,0,0,0,0,37,101,0,0,32,0,3,1,0,1,1,0,1,200,0,0,2,32,0,7,1,0,39,18,0,0,0,0,1,0,0,64,0,0,22,0,0,0,5
2009,502,1,108,0,1,0,1,1,1,3,2,0,0,27,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,4,5,3,8,7,139,0,0,1,0,0,1,0,54,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,9,0,0,0,0,25,4,0,0,115,0,0,0,0,1,0,0,8,0,1,0,673,19,0,15,1137,0,36,4,0,0,1,0,0,1,1,0,0,0,0,14,1,0,0,0,0,0,1,1,0,1,0,6,0,0,5,0,1,1,0,0,0,14,0,39,1,0,0,0,0,4,42,0,0,0,667,1,0,0,0,4,230,0,0,0,0,0,0,152,1,3,3,3,0,0,0,0,0,0,0,122,0,0,0,0,0,0,21,38,0,0,26,0,0,1,0,0,0,1,0,298,0,0,0,13,0,2,2,0,22,10,0,2,0,0,3,0,0,10,0,0,23,0,0,0,0
2010,541,0,100,0,2,0,5,0,1,0,0,0,2,22,0,2,0,0,0,0,0,1,0,0,0,0,0,29,0,3,2,13,1,5,1,136,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,3,0,0,0,0,7,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,661,4,0,14,1179,4,14,10,7,0,0,2,0,12,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,11,0,38,1,0,0,0,0,3,63,0,0,1,713,0,0,2,0,0,205,0,0,0,0,0,0,251,8,0,1,1,0,0,0,0,0,0,0,129,0,0,0,0,0,0,3,3,0,0,28,0,0,3,0,0,0,1,1,253,0,1,0,20,0,6,4,2,57,17,0,0,0,0,0,0,0,11,0,0,112,0,0,0,1
2011,421,0,15,0,0,0,1,0,0,1,0,0,1,13,0,1,0,0,0,1,0,1,0,0,0,2,0,8,0,3,0,3,0,6,4,94,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,18,0,0,1,1,3,0,0,0,8,0,0,0,0,3,8,0,0,11,0,0,0,0,0,0,0,1,0,0,0,643,21,0,13,1307,4,51,3,3,0,0,0,5,42,1,1,1,0,0,10,0,0,2,0,0,0,0,1,0,0,0,4,0,0,3,0,2,0,0,1,0,2,0,46,2,0,0,0,0,2,175,0,0,3,1011,0,0,4,0,0,149,0,2,0,0,0,0,188,2,2,4,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,38,0,0,1,3,49,0,0,0,181,0,0,3,51,0,0,3,0,47,10,0,0,0,0,0,0,0,20,0,0,118,0,0,0,1
2012,1469,0,41,0,0,0,2,0,0,0,0,0,26,18,0,3,1,0,0,0,1,0,0,1,0,2,0,4,0,0,2,4,0,2,4,115,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,49,0,0,0,0,3,0,0,0,65,0,0,0,0,3,5,0,0,22,0,0,1,0,1,0,0,0,0,0,1,611,39,0,5,1438,29,66,10,16,0,0,2,4,80,4,0,0,1,0,15,0,1,60,0,0,0,1,1,0,2,0,14,0,0,0,0,16,1,0,0,1,17,0,46,0,0,0,0,0,1,616,0,0,0,1652,0,0,4,0,6,247,0,0,0,0,0,0,151,6,6,12,3,0,0,0,0,0,0,0,318,4,0,5,0,0,0,1,4,0,0,40,0,0,2,0,179,0,5,0,279,0,0,1,189,0,4,8,0,51,17,0,0,0,0,1,0,0,22,0,0,312,0,0,0,0
2013,1441,1,22,0,0,0,2,1,1,1,0,1,52,139,0,0,0,1,0,0,0,1,0,3,0,3,1,2,2,3,4,20,0,4,12,148,0,0,2,0,9,1,0,22,1,0,0,1,0,0,2,315,0,0,0,0,5,0,0,0,12,0,0,0,0,2,0,0,0,53,0,0,6,2,0,0,0,2,0,0,0,694,32,0,11,2849,26,37,7,4,0,0,1,4,79,6,0,0,0,0,121,0,0,293,0,0,0,0,2,0,13,3,58,0,0,0,0,8,0,2,0,18,17,0,102,0,0,0,0,0,4,345,0,0,0,2213,0,0,10,0,10,651,0,0,0,1,0,0,144,4,6,3,0,0,0,0,0,0,0,0,334,13,0,13,0,0,0,5,14,0,0,46,0,0,0,2,278,2,0,7,471,0,3,29,42,0,0,5,1,137,19,0,0,0,0,0,0,0,64,0,0,424,0,0,0,3
2014,1820,2,13,0,0,0,0,0,8,0,3,0,41,130,0,0,2,0,0,1,0,3,0,3,0,1,0,5,0,67,3,94,1,17,37,230,0,0,0,0,5,5,0,109,0,1,0,1,0,0,0,346,0,0,0,0,2,0,0,0,14,0,0,0,0,2,13,1,0,26,0,0,0,0,0,0,0,1,0,1,1,860,33,0,10,3925,33,293,7,1,1,5,3,0,115,4,0,2,0,0,204,0,1,730,0,0,0,3,1,0,12,9,68,1,0,0,0,5,0,0,0,22,10,0,7,1,0,0,1,2,5,713,0,0,0,2147,0,0,15,0,12,597,0,0,0,0,0,0,48,2,14,2,0,0,0,0,0,0,0,0,862,20,0,39,0,0,0,3,16,0,0,157,0,0,5,0,328,0,1,11,423,0,0,23,90,1,6,891,2,103,26,0,0,0,0,4,0,0,134,0,0,761,0,0,0,1
2015,1926,4,16,0,0,0,1,2,7,0,0,0,18,465,0,0,0,0,0,0,0,6,0,5,0,2,5,97,0,82,5,48,27,1,16,135,0,0,0,0,3,4,0,141,4,1,0,0,0,0,1,582,0,0,0,2,7,0,0,9,36,0,0,0,0,1,50,0,0,31,0,0,0,2,0,0,0,0,0,1,0,882,28,0,9,2743,29,58,5,4,0,10,4,0,68,2,1,2,2,0,44,1,0,542,0,0,0,4,0,0,5,2,120,1,0,0,0,19,0,1,1,7,33,0,47,2,0,0,0,0,41,637,0,0,0,1235,0,0,19,0,10,717,0,0,1,0,0,0,21,0,103,2,0,0,0,0,0,0,0,0,407,2,1,54,0,0,0,0,11,0,0,158,0,0,36,0,485,0,3,14,277,0,1,17,416,0,10,637,0,115,38,0,1,0,0,3,0,0,247,0,0,668,0,0,0,0